Літера;Кількість;Частота
 ;115208;0.166480
о;65358;0.094445
е;48944;0.070726
а;46206;0.066769
и;38015;0.054933
т;37491;0.054176
н;36914;0.053342
с;30368;0.043883
в;26551;0.038367
л;26436;0.038201
р;25143;0.036333
к;19184;0.027722
д;18285;0.026422
м;18047;0.026079
у;17034;0.024615
п;15915;0.022998
ь;13423;0.019397
я;12315;0.017796
ч;10074;0.014557
б;9931;0.014351
г;9807;0.014171
ы;9481;0.013700
з;9143;0.013212
ж;6440;0.009306
й;5816;0.008404
х;5044;0.007289
ш;4882;0.007055
ю;3363;0.004860
э;1969;0.002845
ц;1775;0.002565
щ;1736;0.002509
ф;904;0.001306
ё;695;0.001004
ъ;127;0.000184
